9303,7033,10301,7009,1048,8449,7035,4673,1765,1512,3182,8620,11814,3913,6832,1654,7524,2664,4774,1261,8666,8591,4857,7344,1738,3235,2079,3038,2577,8356,298,10781,10495,1245,1411,11539,8924,3785,7438,8106,10339,5184,6302,10852,10489,1773,3138,407,10105,393,7849,9579,6250,4908,3332,8152,7643,6495,4060,2868,2669,5939,4464,9826,10625,689,10388,10015,10601,6336,10813,2221,667,8914,10549,9132,973,11396,6519,1020,9885,6970,5507,7332,5139,11883,10218,5459,494,1414,11636,3568,11426,1699,8110,10868,7306,1372,9285,10408
6610,9165,2927,5787,5394,9576,6125,7930,3522,8267,391,10172,6457,4963,270,3032,1118,2587,2073,10057,8978,10124,11351,11932,3630,7774,436,2824,1675,5042,1874,4013,10058,6677,9204,10427,7187,3865,6097,4306,9262,9430,4260,112,3943,7777,7193,10083,2426,2715,10313,10592,425,7740,11211,7826,10213,187,9088,2184,3612,2257,11660,11185,2380,8600,593,3382,3451,793,4708,9800,7792,6995,10376,5745,5590,5253,11661,2401,8409,6772,10204,2572,4202,6068,10353,11521,7118,160,11247,8603,4435,5942,10680,1780,6754,400,8865,6712
4354,6985,9326,1862,11486,4216,5175,11404,5875,3925,9758,199,6295,5782,1002,11531,1626,2952,4803,7425,11269,412,7289,3170,5215,7385,10291,2643,3286,7795,7627,11414,2745,11025,2110,8926,6933,9314,5245,6588,1992,10342,7796,11044,9657,8446,1466,3515,7794,6566,3340,10463,6088,8998,8375,4761,4269,1010,2170,10778,9212,5149,3406,5748,10653,521,6440,9928,3855,8083,6508,899,5212,4985,4198,3730,6936,1048,4871,8168,11502,10755,581,4324,595,5400,10368,7918,5197,5102,4400,6517,2710,11493,9772,4964,4028,3661,10361,4600
2997,5140,5379,3335,5633,11533,6610,5456,10540,4469,3446,5362,10303,8665,3341,8914,4802,7028,3779,9833,5170,1867,3827,6615,9103,10073,2565,6994,11079,1414,4767,9252,8613,7985,5841,11377,3905,8876,9974,9150,4295,3102,3646,9279,4499,850,4465,11408,5118,6007,8208,85,8941,6989,4353,11821,4867,6421,596,8428,5858,6645,354,9844,10819,1018,1199,2061,3928,4154,4246,2315,11674,4252,8886,7228,1622,10831,648,7341,9044,11397,5390,2928,2444,10391,1762,6165,148,5542,10012,8995,9065,6430,4895,3025,2946,10366,8804,9885
9812,7263,6988,4316,4176,6200,380,10227,10384,2925,221,2243,5632,5319,9383,4175,1151,519,8270,4792,3751,10607,787,10035,9397,7076,4318,9957,9858,10219,10091,9678,4126,8208,7842,6982,11742,10778,5838,9546,5170,11257,8371,9588,9114,6869,7270,10225,9123,8222,7189,9380,5573,7325,3403,4970,11414,6689,11972,5441,5374,10930,8646,2033,10825,5390,254,10725,6601,2531,6228,11214,8786,4821,11635,5212,3612,3044,9271,4783,8942,2480,6767,6478,744,8717,8083,11912,2199,5256,6211,3869,2476,4350,9226,7008,1431,11960,9493,9804
11254,1922,1617,557,7197,9254,9472,1588,11204,9135,10395,1944,11763,6205,3842,380,4121,6968,627,8122,6353,2485,7297,4807,3883,6273,7528,11437,5104,2436,8101,2472,5300,4282,7520,10545,9241,9146,4039,3358,2799,6809,5458,3585,217,2057,1394,2451,6641,9121,629,7182,9191,707,5310,9460,3862,11061,3168,10271,2465,5708,6836,11913,6956,3156,2370,265,10885,3466,4954,2288,9715,8885,2620,10928,5979,5157,7323,61,720,8643,10567,1481,6689,10018,2725,5891,8073,9039,2014,2264,10160,1328,7301,864,5705,3371,8981,5765
11461,6426,10672,10251,11775,3055,7573,422,5553,5404,1636,1184,4581,10116,7929,2423,2238,10237,11688,3031,9559,2858,275,9049,11031,5561,811,164,10665,566,11419,923,4042,8666,4089,6272,7091,1252,3127,1861,1865,5120,3946,6103,6730,1978,11273,11002,3941,62,4688,10276,6661,9974,11604,8606,1290,3804,3946,10296,9540,5411,7066,7201,3637,416,6813,2959,967,3172,11298,2850,5150,2665,2577,3211,2076,578,8948,9462,9878,1987,8865,7936,10057,5033,9242,10587,6752,5591,7190,6760,6180,8063,4536,7754,3207,9117,11948,8402
1995,5568,6616,8189,2364,822,6446,1021,10514,5407,10669,1777,6430,8745,399,2551,9865,10818,143,6527,733,2148,5248,9926,4590,2789,8235,5079,6301,1373,1299,251,11302,3742,9690,10238,5955,6660,6571,11121,3271,1987,2892,10643,2824,17,11950,11967,660,264,1893,9269,1521,836,557,5189,4622,410,9690,8031,11770,10943,4838,5163,3655,11515,9634,5709,190,391,11081,4233,4090,9846,6801,2573,11955,11214,6199,1922,5332,6453,5094,10314,250,3044,11618,10273,9070,10704,10366,1843,6282,8550,11901,2077,2493,912,7283,10689
496,10291,225,10439,3590,7732,8724,6233,833,2765,5148,6371,6130,4775,443,11825,2378,2813,10755,1125,1643,98,1332,6287,526,6439,5676,4590,3747,3858,2291,6642,5719,2050,951,1968,8835,3132,11366,9482,9674,7810,11653,787,2103,5055,7187,7168,208,3861,753,10556,7541,64,6803,3485,200,4259,2862,5547,5,197,6533,2793,6880,4476,474,6162,2927,7140,639,9516,3517,4617,708,5999,7786,10189,10610,6765,7076,946,10994,4356,3112,7148,1938,3497,9779,1746,1669,6342,6693,6433,6768,2953,6933,5959,10254,6681
1865,1852,10172,10485,1524,9221,7734,6735,7627,935,11920,9731,258,9509,10610,7201,2089,4030,5300,5486,8650,5177,11907,6054,550,2933,4980,9230,3911,6018,2955,620,11662,4356,859,6164,11098,3897,3562,755,1787,4254,1031,3237,361,10384,6719,1762,7608,4373,3276,2062,1574,4947,315,8621,3559,5963,1210,4849,1144,3200,6186,5317,6522,616,2455,3930,3088,5479,6949,6673,352,948,8236,569,7869,11318,5655,8582,5314,6892,6840,159,2366,6993,11615,7126,3265,2410,2426,6091,9508,973,10061,6316,5909,200,9087,7076
1665,7110,4393,8902,9669,4485,1369,7809,1575,5815,2777,11554,9621,3185,2035,9709,3296,10869,7297,5908,1419,2036,4139,11386,2700,31,8467,2760,1437,597,9955,1971,9967,3873,3469,7929,10236,1658,3432,5527,10205,4373,5543,10367,9560,4023,5399,10707,5180,8659,2109,2607,9050,2322,3925,3033,10425,503,4638,2618,11705,10650,8398,9138,4012,10787,1228,8839,10280,6081,10258,5631,8054,2743,8216,8732,3438,11849,8464,7251,2351,9813,9856,8257,7431,11839,11621,2721,302,6452,6522,335,6155,7805,1823,9957,1015,6225,5466,6989
4267,4868,2335,3513,8930,4589,3823,4535,2015,2686,3368,8536,8540,8033,9464,583,5127,11422,5128,8403,942,4377,7076,9826,424,7398,5070,1038,7316,10170,6014,504,4763,4931,3097,4683,5240,3186,1628,8859,340,8963,4493,2365,3717,1381,11485,11700,11088,5272,8331,1825,714,10877,5498,11583,5510,7179,5014,6404,2216,9466,762,7301,672,10110,8131,6897,1096,1611,2494,5549,8418,2469,1634,7570,10687,11345,9439,4640,2518,2495,885,10645,918,4121,9425,8626,5633,1888,5992,5118,11241,9856,5001,4537,10970,3994,4467,9803
